évandís	j v a n t iː s
takna	t a h k n a
maka	mʰ aː k a
dinnumaður	t ɪ nː ʏ m aː ð ʏ r
ztbreiddur	sː t p r e i tː ʏ r
targrét	t a r k r j ɛː t
alvarlege	a l v a r l ɛː ɣ ː
vaginn	v a iː j ɪ nː
pþægindi	p uː θ a iː j ɪ n t ɪ
ýta	iː t a
athugasemp	aː t h ʏː ɣ a s ɛ m p
undirbúd	ʏ n t ɪ r p uː t
írandur	i r a n t ʏ r
ærottvísun	a r ɔ h t v iː s ʏ n
þjúfa	θ j uː v a
hakkp	h a k k p
krýnh	kʰ r iː n t
hugi	h ʏː j ɪ
blata	pʰ l aː t a
æstakaka	a s t a kʰ aː k a
æeðgar	a ɛ ð k a r
hlutverh	l̥ ʏː t v ɛ r̥ t
nús	n uː s
éjáland	j j a uː l a n t
helgarfero	h ɛ l k a r f ɛ r ː
vrýstilína	v r i s t ɪ l iː n a
sögn	s œ k n
ftibú	fː t ɪ p uː
tylur	t ɪː l ʏ r
bljóð	p l j o uː ð
zagdýr	s a ɣ t iː r
yteytill	ɪ t e iː t ɪ t l
dð	t iː ð
áikilvægi	a ɪː c ɪ l v a iː j ɪ
ókápur	o k a uː p ʏ r
kveðskapul	kʰ v ɛ ð s k aː p ʏ l
éegund	jʰ ɛː ɣ ʏ n t
mtsýni	mː t s iː n ɪ
ýúði	iʰ uː ð ɪ
linnumaður	l ɪ nː ʏ m aː ð ʏ r
gjaldö	c a l t ø
rerðamaður	r ɛ r ð a m aː ð ʏ r
blóm	p l o uː m
wkurðaðgerð	v k ʏ r ð a ð c ɛ r ð
orelsari	ɔ r ɛ l s aː r ɪ
zalkostur	s a l kʰ ɔ s t ʏ r
sautakjöt	s ø yː t a cʰ œː t
miðbrögð	m ɪ ð p r œ ɣ ð
ntrekað	nː tʰ r ɛː k a ð
ýmekkur	i m ɛ h k ʏ r
tæla	t a iː l a
mkammur	m k a mː ʏ r
undrr	ʏ n t r r
ýastanefnd	i a s t a n ɛ m t
klekkjæ	kʰ l ɛ h c ː
brða	p r ð a
eié	e iː ː
úandafræði	u a n t a f r a iː ð ɪ
aðferá	a ð f ɛ r ː
mrón	m r o uː n
gengul	c e i ŋ k ʏ l
ykítugur	ɪ c iː t ʏː ɣ ʏ r
oágaður	ɔ a uː a ð ʏ r
þey	θ e iː
énemma	j n ɛ mː a
tómstóll	t o u m s t o u t l
þátækur	θ a uː tʰ a iː k ʏ r
ha	h a ua
órum	o r ʏː m
hálfkáe	h a u l v kʰ a uː ː
ztærðfræði	s t a i r ð f r a iː ð ɪ
ígn	i u k n
trynja	t r ɪ n j a
þrettán	θ r ɛ h t a uː n
árift	a r ɪ f t
heimbou	h e i m p ɔː ʏ
pafi	p aː v ɪ
leykur	l e iː k ʏ r
aðallegk	aː ð a l l ɛː ɣ k
endl	ɛ n t l
liti	l ɪː t ɪ
nanskur	n a n s k ʏ r
wfn	v p n
bkuggi	p k ʏ cː ɪ
garðad	k a r ð a t
ykapa	ɪ k aː p a
nðinsvé	n uː ð ɪ n s v j ɛː
oorréttur	ɔ ɔ r r j ɛ h t ʏ r
yugga	ɪ ʏ kː a
bakka	p a h k a
fýrafræði	f iː r a f r a iː ð ɪ
yrikk	ɪʰ r ɪ h k
ýirkja	i ɪ r̥ c a
motlendi	m ɔː t l ɛ n d ɪ
kæx	cʰ a iː s
æöf	aʰ œː v
endurvekja	ɛ n t ʏ r v ɛː c a
ound	ɔʰ ʏ n t
morritun	m ɔ rː ɪː t ʏ n
írangur	i uː r a u ŋ k ʏ r
úrauð	u r ø yː ð
derningur	t ɛ r t n i ŋ k ʏ r
detersen	tʰ ɛː t ɛ r̥ s ɛ nː
luðvestur	l ʏː ð v ɛ s t ʏ r
ýrlög	i r l œː ɣ
æjúkrahús	a j uː k r a h uː s
pæðgur	p a i ð k ʏ r
eyjafjallajökulr	e iː j a f j a t l a j œː k ʏ t r
eilífx	e iː l i v s
gerh	c ɛ r t
æónína	a o uː n iː n a
íeiðari	i e iː ð aː r ɪ
úakpoki	u aː k pʰ ɔː c ɪ
gaffalæ	k a fː a t ː
váll	vʰ a u t l
minkur	m i ŋ̊ k ʏ r
tlóð	t t l o uː ð
zlfur	s l v ʏ r
málfar	m a u l f aː r
mmiðja	m m ɪ ð j a
teigja	t e iː j a
oæng	ɔ a i ŋ k
nák	n a uː k
